0. loanContract_id, 1. principal, 2. startingPrincipal, 3. duration, 4. payment, 5. yearlyInterestRate (%), 6. isNonPerforming, 7. nNonPerformingPeriods, 8. adjustedFirstWageForFirstMember, 9. year_of_issuance, 10. -, 11. nMonthsInterestPeriod, 12. periodOfLastInterestCalculation
0,318634.7075936586,6372694.151873166,228,265543.6879423846,5.0,0,0,91038.48788390237,2017,0.0,240,-1
1,1261105.1179569007,2.5222102359137993E7,228,1050979.368927844,5.0,0,0,360315.74798768567,2017,0.0,240,-1
2,1567976.0396118085,3.135952079223614E7,228,1306719.3568090152,5.0,0,0,447993.15417480207,2017,0.0,240,-1
3,1285904.9809343384,2.5718099618686747E7,228,1071647.070589186,5.0,0,0,367401.4231240964,2017,0.0,240,-1
4,946397.3182757604,1.892794636551519E7,228,788708.2862115982,5.0,0,0,270399.2337930742,2017,0.0,240,-1
5,2171835.262445862,4.34367052489172E7,228,1809963.3575657238,5.0,0,0,620524.3606988172,2017,0.0,240,-1
6,1370271.5938113949,2.7405431876227874E7,228,1141956.4907140979,5.0,0,0,391506.1696603982,2017,0.0,240,-1
7,1344179.987884103,2.6883599757682037E7,228,1120212.2767375463,5.0,0,0,384051.4251097434,2017,0.0,240,-1
8,1169038.8991984252,2.3380777983968485E7,228,974253.253782808,5.0,0,0,334011.11405669263,2017,0.0,240,-1
9,764998.5693782772,1.529997138756553E7,228,637534.256445197,5.0,0,0,218571.01982236476,2017,0.0,240,-1
10,678856.7761408449,1.3577135522816887E7,228,565745.4370947047,5.0,0,0,193959.0788973841,2017,0.0,240,-1
11,1820504.7186532305,3.641009437306458E7,228,1517171.6243924745,5.0,0,0,520144.205329494,2017,0.0,240,-1
12,849571.4999115204,1.6991429998230394E7,228,708015.6175106463,5.0,0,0,242734.7142604342,2017,0.0,240,-1
13,490304.8677689679,9806097.355379349,228,408610.1096353576,5.0,0,0,140087.10507684786,2017,0.0,240,-1
14,874043.5033796703,1.7480870067593392E7,228,728410.0877218404,5.0,0,0,249726.71525133416,2017,0.0,240,-1
15,860576.9702861175,1.7211539405722335E7,228,717187.3527961132,5.0,0,0,245879.13436746196,2017,0.0,240,-1
16,1495311.19701057,2.9906223940211374E7,228,1246161.9541525138,5.0,0,0,427231.7705744483,2017,0.0,240,-1
17,1946824.1914428452,3.893648382885687E7,228,1622443.705129732,5.0,0,0,556235.4832693839,2017,0.0,240,-1
18,1629741.2855767356,3.2594825711534683E7,228,1358193.2572012825,5.0,0,0,465640.3673076384,2017,0.0,240,-1
19,1870661.0839853303,3.741322167970657E7,228,1558970.9196564925,5.0,0,0,534474.5954243797,2017,0.0,240,-1
